Feature names,value,Objective Response
percentage_cluster0,0.013193041891979933,Negative Response
percentage_cluster1,0.06945077855234869,Negative Response
percentage_cluster2,0.09841031989054662,Negative Response
percentage_cluster3,0.08160140725780181,Negative Response
percentage_cluster4,0.05707212196234283,Negative Response
percentage_cluster5,0.2612548048732816,Negative Response
percentage_cluster6,0.4049123721415076,Negative Response
percentage_cluster7,0.014105153430190892,Negative Response
percentage_cluster0,0.1913945101182128,Positive Response
percentage_cluster1,0.0587557603686636,Positive Response
percentage_cluster2,0.3060508916048888,Positive Response
percentage_cluster3,0.02589661390502905,Positive Response
percentage_cluster4,0.07147866159086355,Positive Response
percentage_cluster5,0.20812462432378281,Positive Response
percentage_cluster6,0.12292125826487678,Positive Response
percentage_cluster7,0.015377679823682629,Positive Response
percentage_cluster0,0.04541208593806136,Positive Response
percentage_cluster1,0.061363799669469,Positive Response
percentage_cluster2,0.381475892792987,Positive Response
percentage_cluster3,0.015448731766903787,Positive Response
percentage_cluster4,0.26923906014227206,Positive Response
percentage_cluster5,0.18797154559172236,Positive Response
percentage_cluster6,0.01523316806783071,Positive Response
percentage_cluster7,0.023855716030753753,Positive Response
percentage_cluster0,0.13160269313528147,Negative Response
percentage_cluster1,0.10369959047685152,Negative Response
percentage_cluster2,0.16943152634136183,Negative Response
percentage_cluster3,0.05171097383216492,Negative Response
percentage_cluster4,0.10279725133615604,Negative Response
percentage_cluster5,0.1280627472756299,Negative Response
percentage_cluster6,0.29589782744499205,Negative Response
percentage_cluster7,0.016797390157562295,Negative Response
percentage_cluster0,0.0012787159927686407,Negative Response
percentage_cluster1,0.03408439525552273,Negative Response
percentage_cluster2,0.0016755588870761497,Negative Response
percentage_cluster3,0.06455311080735482,Negative Response
percentage_cluster4,0.0,Negative Response
percentage_cluster5,0.3645663389038317,Negative Response
percentage_cluster6,0.509017152431765,Negative Response
percentage_cluster7,0.024824727721680852,Negative Response
percentage_cluster0,0.28490456911509543,Positive Response
percentage_cluster1,0.04129554655870445,Positive Response
percentage_cluster2,0.08426836321573164,Positive Response
percentage_cluster3,0.01509543088490457,Positive Response
percentage_cluster4,0.26188548293811453,Positive Response
percentage_cluster5,0.035511856564488145,Positive Response
percentage_cluster6,0.2502602660497397,Positive Response
percentage_cluster7,0.026778484673221515,Positive Response
percentage_cluster0,0.12777472225277747,Positive Response
percentage_cluster1,0.04353756462435376,Positive Response
percentage_cluster2,0.2084259157408426,Positive Response
percentage_cluster3,0.015355846441535585,Positive Response
percentage_cluster4,0.11411285887141129,Positive Response
percentage_cluster5,0.16913430865691342,Positive Response
percentage_cluster6,0.31279287207127926,Positive Response
percentage_cluster7,0.00886591134088659,Positive Response
percentage_cluster0,0.22775175644028103,Positive Response
percentage_cluster1,0.06533957845433255,Positive Response
percentage_cluster2,0.2579625292740047,Positive Response
percentage_cluster3,0.008665105386416861,Positive Response
percentage_cluster4,0.3180327868852459,Positive Response
percentage_cluster5,0.04250585480093677,Positive Response
percentage_cluster6,0.04836065573770492,Positive Response
percentage_cluster7,0.03138173302107728,Positive Response
percentage_cluster0,0.14497354497354498,Positive Response
percentage_cluster1,0.055782312925170066,Positive Response
percentage_cluster2,0.0491307634164777,Positive Response
percentage_cluster3,0.12078609221466365,Positive Response
percentage_cluster4,0.034164777021919876,Positive Response
percentage_cluster5,0.0326530612244898,Positive Response
percentage_cluster6,0.5445200302343159,Positive Response
percentage_cluster7,0.01798941798941799,Positive Response
percentage_cluster0,0.03291448090764914,Negative Response
percentage_cluster1,0.05780163474441869,Negative Response
percentage_cluster2,0.07949249725509333,Negative Response
percentage_cluster3,0.036403562278882515,Negative Response
percentage_cluster4,0.006880566060753934,Negative Response
percentage_cluster5,0.1700134195437355,Negative Response
percentage_cluster6,0.5950225692326461,Negative Response
percentage_cluster7,0.02147126997682079,Negative Response
percentage_cluster0,0.1648037650222708,Positive Response
percentage_cluster1,0.0958904109589041,Positive Response
percentage_cluster2,0.14715522312799395,Positive Response
percentage_cluster3,0.006303050676527439,Positive Response
percentage_cluster4,0.1310194133960837,Positive Response
percentage_cluster5,0.26456004706277836,Positive Response
percentage_cluster6,0.1648037650222708,Positive Response
percentage_cluster7,0.025464324733170854,Positive Response
percentage_cluster0,0.30307216630484834,Positive Response
percentage_cluster1,0.08361292020261825,Positive Response
percentage_cluster2,0.1112426814025393,Positive Response
percentage_cluster3,0.003749753305703572,Positive Response
percentage_cluster4,0.36096309453325437,Positive Response
percentage_cluster5,0.022761660417077823,Positive Response
percentage_cluster6,0.09479639497401486,Positive Response
percentage_cluster7,0.019801328859943425,Positive Response
percentage_cluster0,0.1882953080329615,Negative Response
percentage_cluster1,0.0995571500644655,Negative Response
percentage_cluster2,0.05880374460451819,Negative Response
percentage_cluster3,0.02718762262458658,Negative Response
percentage_cluster4,0.0812825831044341,Negative Response
percentage_cluster5,0.07018330623913896,Negative Response
percentage_cluster6,0.45512640843096586,Negative Response
percentage_cluster7,0.019563876898929314,Negative Response
percentage_cluster0,0.11881065455296304,Positive Response
percentage_cluster1,0.12541812925872392,Positive Response
percentage_cluster2,0.25133181912037994,Positive Response
percentage_cluster3,0.04831715878587652,Positive Response
percentage_cluster4,0.31129465207516005,Positive Response
percentage_cluster5,0.02985752632665703,Positive Response
percentage_cluster6,0.053272764815197195,Positive Response
percentage_cluster7,0.06169729506504233,Positive Response
percentage_cluster0,0.2120575400032326,Positive Response
percentage_cluster1,0.10069500565702279,Positive Response
percentage_cluster2,0.18070147082592533,Positive Response
percentage_cluster3,0.00921286568611605,Positive Response
percentage_cluster4,0.05721674478745757,Positive Response
percentage_cluster5,0.16373040245676418,Positive Response
percentage_cluster6,0.2437368676256667,Positive Response
percentage_cluster7,0.03264910295781477,Positive Response
percentage_cluster0,0.0232078599442041,Positive Response
percentage_cluster1,0.049367242146120566,Positive Response
percentage_cluster2,0.19928840011320909,Positive Response
percentage_cluster3,0.09190150810657825,Positive Response
percentage_cluster4,0.32155419884365016,Positive Response
percentage_cluster5,0.037722880362269035,Positive Response
percentage_cluster6,0.2553673230097441,Positive Response
percentage_cluster7,0.02159058747422472,Positive Response
percentage_cluster0,0.052676831365355954,Positive Response
percentage_cluster1,0.05691849134472085,Positive Response
percentage_cluster2,0.13166341854866445,Positive Response
percentage_cluster3,0.049409606786655964,Positive Response
percentage_cluster4,0.6223776223776224,Positive Response
percentage_cluster5,0.021437578814627996,Positive Response
percentage_cluster6,0.033302762810959535,Positive Response
percentage_cluster7,0.03221368795139287,Positive Response
percentage_cluster0,0.2027130301872373,Negative Response
percentage_cluster1,0.06324035154757356,Negative Response
percentage_cluster2,0.2315628582346198,Negative Response
percentage_cluster3,0.026557126480703096,Negative Response
percentage_cluster4,0.15055406954528086,Negative Response
percentage_cluster5,0.09896828429499427,Negative Response
percentage_cluster6,0.20920901795949562,Negative Response
percentage_cluster7,0.01719526175009553,Negative Response
percentage_cluster0,0.18764460098760316,Positive Response
percentage_cluster1,0.08246141096032321,Positive Response
percentage_cluster2,0.1829137746469146,Positive Response
percentage_cluster3,0.20746572740771435,Positive Response
percentage_cluster4,0.1195828585241203,Positive Response
percentage_cluster5,0.03805380020028316,Positive Response
percentage_cluster6,0.11032839531751787,Positive Response
percentage_cluster7,0.07154943195552332,Positive Response
percentage_cluster0,0.1430896870405377,Positive Response
percentage_cluster1,0.05923125393824827,Positive Response
percentage_cluster2,0.3341209829867675,Positive Response
percentage_cluster3,0.046471329552614994,Positive Response
percentage_cluster4,0.232356647763075,Positive Response
percentage_cluster5,0.054925435832808234,Positive Response
percentage_cluster6,0.114629279563117,Positive Response
percentage_cluster7,0.015175383322831339,Positive Response
percentage_cluster0,0.12011222163773452,Positive Response
percentage_cluster1,0.06593021216903384,Positive Response
percentage_cluster2,0.33280729440645274,Positive Response
percentage_cluster3,0.05874101350166579,Positive Response
percentage_cluster4,0.0019288093985621604,Positive Response
percentage_cluster5,0.271436086270384,Positive Response
percentage_cluster6,0.1367701209889532,Positive Response
percentage_cluster7,0.012274241627213748,Positive Response
percentage_cluster0,0.0642628205128205,Positive Response
percentage_cluster1,0.11762820512820513,Positive Response
percentage_cluster2,0.25384615384615383,Positive Response
percentage_cluster3,0.041185897435897435,Positive Response
percentage_cluster4,0.26346153846153847,Positive Response
percentage_cluster5,0.11057692307692307,Positive Response
percentage_cluster6,0.11875,Positive Response
percentage_cluster7,0.03028846153846154,Positive Response
percentage_cluster0,0.0008429334082607474,Positive Response
percentage_cluster1,0.24613655521213823,Positive Response
percentage_cluster2,0.0783928069682495,Positive Response
percentage_cluster3,0.16071930317504918,Positive Response
percentage_cluster4,0.008710311885361057,Positive Response
percentage_cluster5,0.06912053947738128,Positive Response
percentage_cluster6,0.18010677156504637,Positive Response
percentage_cluster7,0.2559707783085136,Positive Response
percentage_cluster0,0.12088745032162904,Positive Response
percentage_cluster1,0.0969189167042242,Positive Response
percentage_cluster2,0.3244356127340517,Positive Response
percentage_cluster3,0.05973696070799361,Positive Response
percentage_cluster4,0.0057975171057483505,Positive Response
percentage_cluster5,0.20875158765927807,Positive Response
percentage_cluster6,0.14614659728766338,Positive Response
percentage_cluster7,0.037325357479411646,Positive Response
percentage_cluster0,0.08624043574114901,Negative Response
percentage_cluster1,0.03635499070591795,Negative Response
percentage_cluster2,0.18605455410020316,Negative Response
percentage_cluster3,0.048675052954653526,Negative Response
percentage_cluster4,0.03475554402801193,Negative Response
percentage_cluster5,0.24808714822980157,Negative Response
percentage_cluster6,0.3464315047767259,Negative Response
percentage_cluster7,0.013400769463536938,Negative Response
percentage_cluster0,0.09191652985397045,Positive Response
percentage_cluster1,0.06923442495463579,Positive Response
percentage_cluster2,0.079841009245658,Positive Response
percentage_cluster3,0.2712131685820444,Positive Response
percentage_cluster4,0.008943229931737665,Positive Response
percentage_cluster5,0.07603905642443619,Positive Response
percentage_cluster6,0.3691782597425041,Positive Response
percentage_cluster7,0.033634321265013395,Positive Response
percentage_cluster0,0.0323373980764445,Negative Response
percentage_cluster1,0.13161862657551493,Negative Response
percentage_cluster2,0.153503828080397,Negative Response
percentage_cluster3,0.16932851224546558,Negative Response
percentage_cluster4,0.024739793005518877,Negative Response
percentage_cluster5,0.1592569278739881,Negative Response
percentage_cluster6,0.26925385369852584,Negative Response
percentage_cluster7,0.05996106044414516,Negative Response
percentage_cluster0,0.23954473266278453,Positive Response
percentage_cluster1,0.04493118051879301,Positive Response
percentage_cluster2,0.12003705664372684,Positive Response
percentage_cluster3,0.03474060349391212,Positive Response
percentage_cluster4,0.04043144520910535,Positive Response
percentage_cluster5,0.25555849655902596,Positive Response
percentage_cluster6,0.24993382742191636,Positive Response
percentage_cluster7,0.014822657490735839,Positive Response
percentage_cluster0,0.17316517659856545,Negative Response
percentage_cluster1,0.11757373854120633,Negative Response
percentage_cluster2,0.06616355622032612,Negative Response
percentage_cluster3,0.15128440470929508,Negative Response
percentage_cluster4,0.026537942912828183,Negative Response
percentage_cluster5,0.09928499393774574,Negative Response
percentage_cluster6,0.30673873383871003,Negative Response
percentage_cluster7,0.05925145324132305,Negative Response
percentage_cluster0,0.18082814046939608,Negative Response
percentage_cluster1,0.04197969444606216,Negative Response
percentage_cluster2,0.17903247723875526,Negative Response
percentage_cluster3,0.06108166870498709,Negative Response
percentage_cluster4,0.16683167355813094,Negative Response
percentage_cluster5,0.10985576456428474,Negative Response
percentage_cluster6,0.2462291072156543,Negative Response
percentage_cluster7,0.014161473802729408,Negative Response
percentage_cluster0,0.26275115919629055,Negative Response
percentage_cluster1,0.08732612055641421,Negative Response
percentage_cluster2,0.16383307573415765,Negative Response
percentage_cluster3,0.01184956208140134,Negative Response
percentage_cluster4,0.080370942812983,Negative Response
percentage_cluster5,0.2091705306543019,Negative Response
percentage_cluster6,0.157908294693457,Negative Response
percentage_cluster7,0.026790314270994334,Negative Response
percentage_cluster0,0.303597441256571,Positive Response
percentage_cluster1,0.0406612198365951,Positive Response
percentage_cluster2,0.10177972005826841,Positive Response
percentage_cluster3,0.09601621381974793,Positive Response
percentage_cluster4,0.1409842295268858,Positive Response
percentage_cluster5,0.059820127937171445,Positive Response
percentage_cluster6,0.2354487301285705,Positive Response
percentage_cluster7,0.021692317436189754,Positive Response
percentage_cluster0,0.08845647162147327,Positive Response
percentage_cluster1,0.17529366560544515,Positive Response
percentage_cluster2,0.09803491052804918,Positive Response
percentage_cluster3,0.11881106597870238,Positive Response
